addr,area,category,security_deposits,notes,stop
 新北市三峽區隆恩段0294-0000地號, 174.66/(持分4/136), 一般農業區農牧用地," 9,000", 1.被繼承人姓名：曾長庚、曾文通。, 否
 臺北市大同區迪化段一小段0408-0000地號, 57.00/(持分1/2), 第三種商業區," 570,000", 1.被繼承人姓名：羅賜。, 否
 臺北市大同區迪化段一小段0408-0001地號, 11.00/(持分1/2), 道路用地," 110,000", 1.被繼承人姓名：羅賜。, 否
 臺北市松山區敦化段一小段0390-0000地號, 7.00/(持分4/81), 第三種住宅區," 17,000", 1.被繼承人姓名：張李綢（編一編號：A201951910，出生日期：民國4年2月28日）。, 否
 新北市蘆洲區民權段0616-0000地號, 1044.99/(持分12/672), 住宅區," 346,000", 1.被繼承人姓名：李根陣、李清陳。, 否
 新北市蘆洲區民權段0616-0000地號, 1044.99/(持分12/672), 住宅區," 346,000", 1.被繼承人姓名：李根陣、李清陳。, 否
 新北市淡水區天生段1166-0000地號, 196.23/(持分3911/8464), 特定農業區甲種建築用地," 137,000", 1.被繼承人姓名：郭水源。, 否
 新北市平溪區十分寮段十分寮小段0370-0007地號, 326.00, 鄉村區乙種建築用地," 177,000", 1.被繼承人姓名：胡太守。, 否
 新北市雙溪區武丹坑段武丹坑小段0399-0012地號, 83.00, 鄉村區乙種建築用地," 21,000", 1.被繼承人姓名：石朝木（編一編號：F101149726，出生日期：民國3年9月7日）。, 否
 新北市貢寮區貢寮段貢寮小段0468-0000地號, 3574.00, 農業區," 204,000", 1.被繼承人姓名：蕭全旺。, 否
 新北市貢寮區貢寮段貢寮小段0474-0001地號, 3036.00, 一般保護區," 86,000", 1.被繼承人姓名：蕭全旺。, 否
 新北市貢寮區貢寮段貢寮小段0474-0003地號, 116.00, 農業區," 7,000", 1.被繼承人姓名：蕭全旺。, 否
 新北市貢寮區貢寮段貢寮小段0535-0007地號, 4251.00, 一般保護區," 120,000", 1.被繼承人姓名：蕭全旺。, 否
 新北市貢寮區貢寮段貢寮小段0535-0014地號, 337.00, 墓地," 10,000", 1.被繼承人姓名：蕭全旺。, 否
 臺北市文山區華興段一小段0433-0000地號, 61.00, 第三種住宅區," 866,000", 1.被繼承人姓名：潘萬路（編一編號：Q103000631，出生日期：民國8年2月20日）。, 否
 臺北市文山區興安段四小段0217-0000地號, 783.00/(持分1/4), 機關用地," 1,565,000", 1.被繼承人姓名：柯文寶。, 否
 臺北市文山區興安段四小段0217-0001地號, 431.00/(持分1/4), 道路用地," 847,000", 1.被繼承人姓名：柯文寶。, 否
 臺北市文山區興安段四小段0217-0002地號, 118.00/(持分1/4), 第三種住宅區," 295,000", 1.被繼承人姓名：柯文寶。, 否
 臺北市文山區興安段四小段0217-0003地號, 5.00/(持分1/4), 道路用地," 8,000", 1.被繼承人姓名：柯文寶。, 否
 金門縣金湖鎮陳坑段397地號, 116.93, 自然村專用區," 198,000", 1.地上為雜草地等。, 否
 金門縣金湖鎮陳坑段304-3地號, 124.20, 自然村專用區," 210,000", 1.地上為雜草、雜木、電桿等。, 否
 金門縣金寧鄉鎮西段171-5地號, 79.79, 農業區," 61,000", 1.地上為雜木、雜草等。, 否
